,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03
"AQI_Lucknow, Uttar Pradesh (Nishant Ganj, Lucknow )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AQI_Greater Noida, Uttar Pradesh (Knowledge Park   III, Greater Noida )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,203.09833333333333,224.6032,99.5456,123.6616129032258,135.97433333333333,295.3357142857143,350.1744444444445,371.75967741935483,269.1228571428572,163.8904761904762,171.39193548387095,241.77233333333334,230.725,188.45466666666667,121.0232258064516,85.85133333333333,83.96964285714286,217.3109090909091,286.9235294117647,279.3465,234.18809523809523,192.56260869565216,103.85190476190476,88.90416666666665,114.45142857142856,70.88,67.3875,56.5225,131.06714285714284,278.71500000000003,269.6172222222222,346.47956521739127,274.66,240.61520000000002,206.5704,172.5256,138.4808,104.43599999999999,134.35679166666668,164.27758333333335,194.19837500000003,224.1191666666667,330.7986206896552,267.40291666666667,174.0525,147.89653846153846,226.28583333333333,357.93666666666667,206.29,230.74681818181818,63.335909090909084,74.39714285714285,95.48115384615386,219.11350000000002,421.6166666666666,314.4458333333333,248.9958333333333,203.375,173.042
"AQI_Bulandshahr, Uttar Pradesh (Yamunapuram, Bulandshahr )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,272.56363636363636,211.285,85.03777777777778,98.19769230769231,54.805,189.4275,324.05,358.23214285714283,320.836,155.15304347826086,162.138,197.238,233.85722222222225,162.8211111111111,90.16076923076922,57.797083333333326,64.19185185185185,218.31318181818185,251.6538888888889,234.6540909090909,180.6967857142857,187.7951851851852,118.1916129032258,143.21482758620692,155.32833333333335,131.7246153846154,84.46549999999999,56.629230769230766,126.78571428571429,308.7625,321.63413793103445,331.8793333333333,258.6433333333333,250.21,258.9092,243.347,116.2683870967742,117.20633333333333,77.1616129032258,74.849,55.258,152.5051724137931,359.6053333333333,264.36225806451614,188.53900000000002,169.40642857142856,225.2767741935484,309.115,168.76583333333335,115.68233974358975,62.598846153846154,71.318,84.25241379310346,206.96241379310345,169.35033333333334,160.81548387096774,154.9616129032258,140.92464285714286,107.00806451612904
"AQI_Muzaffarnagar, Uttar Pradesh (New Mandi, Muzaffarnagar )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.88,123.37333333333332,88.66959999999999,51.370000000000005,215.67200000000003,304.1,327.6872727272727,248.5525806451613,157.885,142.68,199.95241379310343,202.19076923076923,151.16199999999998,61.99272727272727,67.30611111111111,67.96592592592593,185.0082142857143,174.71928571428572,164.43035714285716,154.14142857142858,155.562,118.01619047619049,113.0968,135.2732,119.01107142857143,77.00354838709679,61.11689655172414,118.98826086956522,243.60266666666666,402.62399999999997,354.0780952380952,305.53219047619046,256.9862857142857,208.44038095238096,159.8944761904762,111.34857142857143,137.7462068965517,110.86444444444444,98.24590909090908,71.49535714285715,147.33074074074074,259.97,197.89806451612904,184.6068,189.53692307692307,199.62464285714285,293.1768421052631,192.425,125.50607142857143,58.58714285714286,77.6683870967742,95.52916666666665,163.999375,178.43666666666667,215.10548387096776,177.1719230769231,167.02933333333334,62.95
"AQI_Baghpat, Uttar Pradesh (New Collectorate, Baghpat )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168.39249999999998,121.55857142857143,87.32823529411765,247.78269230769232,302.06260869565216,268.428,194.70333333333335,142.97086956521738,145.0425,244.8396551724138,261.52344827586205,241.654,126.36483870967741,86.14766666666667,92.76551724137931,198.52193548387098,272.98,244.39785714285716,187.898,183.2014,178.5048,173.8082,169.11159999999998,164.415,85.12655172413794,53.57,121.8248275862069,308.2775862068965,335.72115384615387,310.21866666666665,274.32885714285715,238.4390476190476,202.54923809523808,166.65942857142858,130.76961904761907,94.87980952380954,58.99,100.27037037037037,52.538000000000004,170.2886956521739,349.49481481481484,211.39967741935484,193.18692307692305,193.18692307692305,193.18692307692305,193.18692307692305,193.18692307692305,193.18692307692305,193.18692307692305,193.18692307692305,193.18692307692305,193.18692307692305,193.18692307692305,193.18692307692305,193.18692307692305,193.18692307692305,193.18692307692305
"AQI_Hapur, Uttar Pradesh (Anand Vihar, Hapur )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,271.816,315.60375,313.77142857142854,240.3751724137931,148.5262962962963,148.74666666666664,228.06571428571428,256.49533333333335,199.49983333333336,142.50433333333334,85.50883333333331,28.513333333333332,207.48333333333332,272.8446153846154,237.32920000000001,124.80233333333334,107.41103448275862,92.73444444444445,144.04888888888888,125.245,119.92988095238096,114.6147619047619,109.29964285714286,103.98452380952381,98.66940476190476,93.35428571428572,88.03916666666667,82.72404761904762,77.40892857142858,72.09380952380953,66.77869047619049,61.463571428571434,56.14845238095239,50.833333333333336,96.74882352941177,50.38037037037037,163.97620689655173,355.7336842105263,238.45916666666668,157.57774193548386,130.03357142857143,142.30580645161288,270.96464285714285,192.1510714285714,274.9465,59.18,68.029,108.635,107.50541666666668,106.37583333333333,105.24625,95.262,67.17153846153846,60.112307692307695
"AQI_Ghaziabad, Uttar Pradesh (Sanjay Nagar, Ghaziabad )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,167.81,195.5258064516129,294.24733333333336,304.0270967741936,216.46846153846155,83.57333333333334,93.12360000000001,87.53999999999999,240.7225925925926,278.7003846153846,283.0522222222222,208.77777777777777,186.08379310344827,120.0808695652174,123.01409090909091,132.97107142857143,109.52190476190476,79.02631578947368,54.245,117.91666666666667,281.1328571428572,318.3621428571428,341.79,290.2237037037037,316.5024,288.796,281.10333333333335,199.4975,363.86,110.16923076923078,106.44612903225806,66.27153846153846,217.7037037037037,335.7241379310345,247.7864285714286,209.577,232.595,280.6425,292.3,210.7,129.1,47.5,127.818,208.136,288.454,253.69714285714286,203.2276,179.57571428571427,162.89249999999998,143.13142857142856
"AQI_Ghaziabad, Uttar Pradesh (Indirapuram, Ghaziabad )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177.65,188.8942857142857,275.68285714285713,261.582,205.28185185185183,109.85214285714287,88.44,85.87653846153846,219.52074074074073,264.77833333333336,325.168,226.9814814814815,199.43714285714285,114.32967741935484,101.05199999999999,124.41516129032257,125.10962962962964,77.43350000000001,54.97538461538461,122.96366666666667,289.8863636363636,332.31444444444446,330.3864,301.22038461538466,328.2055555555555,252.80354838709678,235.04433333333333,156.68565217391304,158.23791666666668,108.2976923076923,112.72655172413792,76.935,205.145,403.87142857142857,276.28363636363633,197.84304347826088,221.1625,243.9116129032258,214.4296666666667,164.20428571428573,142.637,63.931724137931035,87.98806451612903,92.31611111111111,369.0954545454546,246.82923076923078,213.2205,220.3988888888889,170.61555555555555,116.93387096774192
"AQI_Ghaziabad, Uttar Pradesh (Loni, Ghaziabad )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,186.91,213.28793103448277,320.2717391304348,333.8330434782609,306.60052631578947,152.16709677419357,95.46074074074075,101.10689655172413,283.14608695652174,318.57428571428574,317.3257692307692,216.4172,255.80517241379312,139.8353846153846,151.02689655172412,197.80833333333334,156.0989285714286,98.4074074074074,74.9686956521739,145.1906666666667,352.875,366.195,379.1933333333333,430.0,389.8457142857143,349.69142857142856,309.53714285714284,269.3828571428571,229.22857142857143,137.98758620689654,112.66870967741936,82.76592592592591,246.915,412.7975,333.3,301.57733333333334,275.63272727272727,310.633,424.98333333333335,320.61266666666666,304.22956521739127,100.78277777777777,80.86923076923077,222.14211538461538,363.415,222.67689655172416,203.3669230769231,205.0585,197.11833333333334,144.9023076923077
"AQI_Greater Noida, Uttar Pradesh (Knowledge Park   V, Greater Noida )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,277.9871428571428,167.62,114.42,112.91724137931034,290.4493333333333,306.5513333333334,332.5625,279.64,261.1662068965517,154.22666666666666,115.39842105263159,138.65483870967742,134.40833333333333,90.85300000000001,63.23461538461538,141.42083333333335,352.9536363636364,265.536,343.98699999999997,328.12845454545453,312.2699090909091,296.41136363636366,201.614,191.23848148148147,180.86296296296297,158.52466666666666,115.73142857142857,87.69900000000001,217.16,369.17928571428575,266.4425806451613,200.0,189.0411111111111,205.36379310344827,312.06666666666666,228.89793103448275,210.3841379310345,79.64533333333334,91.48709677419355,112.64689655172414,257.2757142857143,338.10689655172416,340.8842307692308,301.678,224.68533333333335,154.41285714285715
"AQI_Noida, Uttar Pradesh (Sector 1, Noida )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,231.82857142857145,147.94827586206895,84.26896551724138,81.15892857142856,222.2703448275862,251.4664,302.52333333333337,229.74277777777777,197.4652,116.99875,111.9175,137.77,103.77000000000001,73.55633333333334,57.2915,123.03250000000001,283.3964285714286,317.06541666666664,317.767,282.34366666666665,261.60370370370373,205.22903225806454,193.62066666666666,146.63190476190476,139.30107142857142,105.7925806451613,106.68,61.821333333333335,186.94962962962964,382.01076923076926,301.3866666666667,243.75958333333332,174.21772727272727,192.9036,297.57166666666666,238.6203846153846,231.17894736842103,73.125,45.73,75.55,330.5172727272727,240.88000000000002,232.068,219.75967741935486,166.57888888888888,125.88966666666667
"AQI_Noida, Uttar Pradesh (Sector 116, Noida )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,225.37857142857143,144.74517241379309,81.48344827586207,77.27444444444444,216.2648148148148,205.26333333333332,284.937,230.56620689655173,165.83454545454546,113.4403846153846,117.622,120.42392857142856,104.41,58.70428571428572,54.2588,97.31428571428572,343.434375,297.7948,368.72076923076924,392.8875,301.27647058823527,268.0708333333333,224.54180555555556,181.01277777777779,137.48375000000001,106.52931034482758,112.73318181818182,68.72074074074074,189.86222222222221,352.015,293.0364,175.65200000000002,190.57692307692307,179.17962962962963,290.67600000000004,322.5833333333333,196.28,234.58928571428572,272.8985714285714,311.20785714285716,349.51714285714286,360.5416666666667,266.91052631578947,255.6410344827586,191.28166666666667,129.9
"AQI_Meerut, Uttar Pradesh (Jai Bhim Nagar, Meerut )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,229.92,98.0775,139.85655555555556,181.6356111111111,223.41466666666665,204.89733333333334,261.3048,180.49,165.58526315789473,142.75,139.88933333333333,137.02866666666668,134.168,188.53475,242.9015,297.26824999999997,351.635,280.74611111111113,278.4857894736842,242.32,266.2833333333333,290.24666666666667,178.17727272727274,209.53488636363636,240.89249999999998,103.45416666666667,72.72285714285715,49.27304347826087,162.44941176470587,350.83125,152.04,159.18033333333332,166.32066666666665,173.461,180.60133333333334,187.74166666666667,194.882,202.02233333333334,209.16266666666667,216.303,223.44333333333336,178.96800000000002,172.45470588235295,199.95827586206897,147.442,147.442
"AQI_Lucknow, Uttar Pradesh (Gomti Nagar, Lucknow )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.050000000000004,48.36954545454545,122.34409090909092,153.63750000000002,136.34724137931036,109.40608695652175,101.20479999999999,125.50464285714285,143.76035714285715,120.02066666666666,138.05689655172415,51.20666666666667,44.911071428571425,72.79310344827586,120.00399999999999,142.43214285714285,133.48133333333334,129.64999999999998,108.84434782608696,54.892999999999994
"AQI_Meerut, Uttar Pradesh (Ganga Nagar, Meerut )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230.765,244.24966666666666,248.61741935483872,172.38533333333334,149.285,107.12892857142857,130.7,145.03642857142856,119.46206896551725,67.45275862068965,42.45,55.270535714285714,68.09107142857144,80.91160714285715,93.73214285714286,106.55267857142857,119.3732142857143,132.19375000000002,145.01428571428573,157.83482142857144,170.65535714285716,183.47589285714287,196.29642857142858,209.1169642857143,221.9375,344.5013793103449,268.6375,235.14000000000001,251.19285714285712,282.78677419354835,258.47846153846154,120.64904761904762,128.59736842105264,54.708064516129035,124.77714285714286,139.88333333333333,236.12800000000001,216.9618181818182,211.87894736842105,299.60566666666665,260.5373913043478,113.98941176470588
"AQI_Meerut, Uttar Pradesh (Pallavpuram Phase 2, Meerut )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,218.81608695652176,211.3417857142857,245.9952,201.1423076923077,210.29049999999998,146.00095238095238,161.67038461538462,159.19956521739132,111.3404,79.8175,128.83764880952378,177.8577976190476,226.87794642857142,275.8980952380952,323.5510344827586,279.61678571428575,301.38714285714286,329.92454545454547,259.71000000000004,237.12666666666667,214.54333333333332,96.58678571428571,88.61285714285714,62.803,169.93333333333334,365.49699999999996,192.6625,170.549,185.5978947368421,184.8975,360.215,183.1157142857143,154.32714285714286,125.53857142857143,96.75,105.354,162.771875,165.6888888888889,157.54903225806453,173.47642857142858,193.75173913043477,136.4075
