custom_date,"AQI_Lucknow, Uttar Pradesh (Talkatora District Industries Center, Lucknow )","AQI_Lucknow, Uttar Pradesh (Kendriya Vidyalaya, Lucknow )","AQI_Varanasi, Uttar Pradesh (Ardhali Bazar, Varanasi )","AQI_Agra, Uttar Pradesh (Sanjay Palace, Agra )","AQI_Kanpur, Uttar Pradesh (Nehru Nagar, Kanpur )","AQI_Lucknow, Uttar Pradesh (Lalbagh, Lucknow )","AQI_Noida, Uttar Pradesh (Sector   62, Noida )","AQI_Noida, Uttar Pradesh (Sector   125, Noida )","AQI_Ghaziabad, Uttar Pradesh (Vasundhara, Ghaziabad )","AQI_Moradabad, Uttar Pradesh (Lajpat Nagar, Moradabad )","AQI_Lucknow, Uttar Pradesh (Nishant Ganj, Lucknow )","AQI_Greater Noida, Uttar Pradesh (Knowledge Park   III, Greater Noida )","AQI_Bulandshahr, Uttar Pradesh (Yamunapuram, Bulandshahr )","AQI_Muzaffarnagar, Uttar Pradesh (New Mandi, Muzaffarnagar )","AQI_Baghpat, Uttar Pradesh (New Collectorate, Baghpat )","AQI_Hapur, Uttar Pradesh (Anand Vihar, Hapur )","AQI_Ghaziabad, Uttar Pradesh (Sanjay Nagar, Ghaziabad )","AQI_Ghaziabad, Uttar Pradesh (Indirapuram, Ghaziabad )","AQI_Ghaziabad, Uttar Pradesh (Loni, Ghaziabad )","AQI_Greater Noida, Uttar Pradesh (Knowledge Park   V, Greater Noida )","AQI_Noida, Uttar Pradesh (Sector 1, Noida )","AQI_Noida, Uttar Pradesh (Sector 116, Noida )","AQI_Meerut, Uttar Pradesh (Jai Bhim Nagar, Meerut )","AQI_Lucknow, Uttar Pradesh (Gomti Nagar, Lucknow )","AQI_Meerut, Uttar Pradesh (Ganga Nagar, Meerut )","AQI_Meerut, Uttar Pradesh (Pallavpuram Phase 2, Meerut )","AQI_Kanpur, Uttar Pradesh (IITK, Kanpur )","AQI_Agra, Uttar Pradesh (Shastripuram, Agra )","AQI_Varanasi, Uttar Pradesh (Bhelupur, Varanasi )","AQI_Agra, Uttar Pradesh (Sector 3B Avas Vikas Colony, Agra )","AQI_Varanasi, Uttar Pradesh (IESD Banaras Hindu University, Varanasi )","AQI_Gorakhpur, Uttar Pradesh (Madan Mohan Malaviya University of Technology, Gorakhpur )","AQI_Prayagraj, Uttar Pradesh (Motilal Nehru NIT, Prayagraj )","AQI_Agra, Uttar Pradesh (Manoharpur, Agra )","AQI_Lucknow, Uttar Pradesh (B R Ambedkar University, Lucknow )","AQI_Prayagraj, Uttar Pradesh (Jhunsi, Prayagraj )","AQI_Firozabad, Uttar Pradesh (Nagla Bhau, Firozabad )","AQI_Prayagraj, Uttar Pradesh (Nagar Nigam, Prayagraj )","AQI_Lucknow, Uttar Pradesh (Kukrail Picnic Spot 1, Lucknow )","AQI_Kanpur, Uttar Pradesh (NSI Kalyanpur, Kanpur )","AQI_Varanasi, Uttar Pradesh (Maldahiya, Varanasi )","AQI_Agra, Uttar Pradesh (Rohta, Agra )","AQI_Vrindavan, Uttar Pradesh (Omex Eternity, Vrindavan )","AQI_Kanpur, Uttar Pradesh (FTI Kidwai Nagar, Kanpur )","AQI_Agra, Uttar Pradesh (Shahjahan Garden, Agra )","AQI_Moradabad, Uttar Pradesh (Employment Office, Moradabad )","AQI_Moradabad, Uttar Pradesh (Buddhi Vihar, Moradabad )","AQI_Moradabad, Uttar Pradesh (Jigar Colony, Moradabad )","AQI_Moradabad, Uttar Pradesh (Eco Herbal Park, Moradabad )","AQI_Baghpat, Uttar Pradesh (Sardar Patel Inter College, Baghpat )","AQI_Firozabad, Uttar Pradesh (Vibhab Nagar, Firozabad )","AQI_Jhansi, Uttar Pradesh (Shivaji Nagar, Jhansi )","AQI_Bareilly, Uttar Pradesh (Rajendra Nagar, Bareilly )","AQI_Khurja, Uttar Pradesh (Kalindi Kunj, Khurja )","AQI_Moradabad, Uttar Pradesh (Transport Nagar, Moradabad )","AQI_Moradabad, Uttar Pradesh (Kashiram Nagar, Moradabad )","AQI_Bareilly, Uttar Pradesh (Civil Lines, Bareilly )"
2013-11-10,,,277.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-11-11,,,329.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-11-12,,,430.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-11-13,,,430.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-11-14,,,430.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-11-15,,,430.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-11-16,,,430.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-11-17,,,430.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-11-18,,,444.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-11-19,,,430.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-11-20,,,430.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-11-21,,,430.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-11-23,,,430.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-11-24,,,430.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-11-25,,,418.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-11-26,,,353.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-11-27,,,430.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-01,,,,,,,304.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-02,,,,,,,378.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-03,,,,,,,436.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-04,,,,,,,196.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-05,,,,,,,271.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-06,,,,,,,411.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-07,,,,,,,430.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-08,,,,,,,430.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-09,,,,,,,430.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-10,,,,,,,278.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-11,,,,,,,158.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-12,,,,,,,148.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-13,,,,,,,286.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-14,,,,,,,326.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-15,,,,,,,146.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-16,,,,,,,430.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-17,,,,,,,430.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-18,,,,,,,430.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-19,,,,,,,362.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-20,,,,,,,338.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-21,,,,,,,327.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-22,,,,,,,285.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-23,,,,,,,182.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-24,,,,,,,158.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-25,,,,,,,127.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-26,,,,,,,177.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-27,,,,,,,360.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-28,,,,,,,194.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-29,,,,,,,277.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-30,,,,,,,169.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-31,,,,,,,156.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-06-30,,,179.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-07-01,,,129.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-07-02,,,77.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-07-03,,,111.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-07-04,,,148.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-07-05,,,122.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-07-06,,,49.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-07-07,,,112.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-07-08,,,153.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-07-09,,,166.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-07-10,,,112.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-07-11,,,111.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-07-12,,,106.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-07-13,,,74.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-07-14,,,250.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-07-15,,,171.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-07-16,,,79.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-07-17,,,101.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-07-18,,,139.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-08-05,,,72.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-08-06,,,74.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-08-07,,,43.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-08-08,,,86.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-08-09,,,90.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-08-10,,,77.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-08-11,,,111.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-08-12,,,158.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-08-13,,,70.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-08-14,,,84.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-08-15,,,69.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
